timestamp,volume,open,high,low,close
20250929 19:02:45 America/Denver,-1,56.75,56.75,56.5,56.5
20250929 19:03:00 America/Denver,-1,56.5,56.75,56.3,56.75
20250929 19:03:15 America/Denver,-1,56.75,56.75,56.75,56.75
20250929 19:03:30 America/Denver,-1,56.75,57.1,56.75,57.1
20250929 19:03:45 America/Denver,-1,57.1,57.3,57.1,57.3
20250929 19:04:00 America/Denver,-1,57.3,57.3,57.3,57.3
20250929 19:04:15 America/Denver,-1,57.3,57.3,57.3,57.3
20250929 19:04:30 America/Denver,-1,57.3,57.3,57.3,57.3
20250929 19:04:45 America/Denver,-1,57.3,57.3,57.2,57.2
20250929 19:05:00 America/Denver,-1,57.2,57.2,56.7,56.7
20250929 19:05:15 America/Denver,-1,56.7,56.7,56.7,56.7
20250929 19:05:30 America/Denver,-1,56.7,56.7,56.5,56.5
20250929 19:05:45 America/Denver,-1,56.5,56.5,55.65,55.65
20250929 19:06:00 America/Denver,-1,55.65,55.65,55.35,55.45
20250929 19:06:15 America/Denver,-1,55.45,55.7,55.45,55.45
20250929 19:06:30 America/Denver,-1,55.45,56.15,55.45,55.9
20250929 19:06:45 America/Denver,-1,55.9,56.15,55.9,56.1
20250929 19:07:00 America/Denver,-1,56.1,56.1,55.85,55.85
20250929 19:07:15 America/Denver,-1,55.85,55.85,55.65,55.65
20250929 19:07:30 America/Denver,-1,55.65,55.65,55.4,55.5
20250929 19:07:45 America/Denver,-1,55.5,55.8,55.5,55.6
20250929 19:08:00 America/Denver,-1,55.6,55.8,55.6,55.8
20250929 19:08:15 America/Denver,-1,55.8,56.0,55.8,55.9
20250929 19:08:30 America/Denver,-1,55.9,56.1,55.9,56.1
20250929 19:08:45 America/Denver,-1,56.1,56.3,56.1,56.3
20250929 19:09:00 America/Denver,-1,56.3,56.75,56.3,56.65
20250929 19:09:15 America/Denver,-1,56.65,56.8,56.65,56.8
20250929 19:09:30 America/Denver,-1,56.8,57.0,56.75,56.75
20250929 19:09:45 America/Denver,-1,56.75,56.75,56.1,56.1
20250929 19:10:00 America/Denver,-1,56.1,56.1,55.6,55.6
20250929 19:10:15 America/Denver,-1,55.6,55.6,55.6,55.6
20250929 19:10:30 America/Denver,-1,55.6,56.0,55.5,55.9
20250929 19:10:45 America/Denver,-1,55.9,56.0,55.9,55.9
20250929 19:11:00 America/Denver,-1,55.9,56.0,55.9,55.95
20250929 19:11:15 America/Denver,-1,55.95,56.15,55.95,56.1
20250929 19:11:30 America/Denver,-1,56.1,56.4,56.1,56.35
20250929 19:11:45 America/Denver,-1,56.35,56.4,56.35,56.35
20250929 19:12:00 America/Denver,-1,56.35,56.35,56.0,56.0
20250929 19:12:15 America/Denver,-1,56.0,56.0,55.9,55.9
20250929 19:12:30 America/Denver,-1,55.9,55.95,55.9,55.95
20250929 19:12:45 America/Denver,-1,55.95,55.95,55.95,55.95
20250929 19:13:00 America/Denver,-1,55.95,55.95,55.95,55.95
20250929 19:13:15 America/Denver,-1,55.95,55.95,55.95,55.95
20250929 19:13:30 America/Denver,-1,55.95,55.95,55.45,55.45
20250929 19:13:45 America/Denver,-1,55.45,55.55,55.45,55.45
20250929 19:14:00 America/Denver,-1,55.45,55.5,55.45,55.5
20250929 19:14:15 America/Denver,-1,55.5,55.55,55.4,55.4
20250929 19:14:30 America/Denver,-1,55.4,55.5,55.4,55.5
20250929 19:14:45 America/Denver,-1,55.5,55.55,55.45,55.55
20250929 19:15:00 America/Denver,-1,55.55,55.75,55.55,55.7
20250929 19:15:15 America/Denver,-1,55.7,55.85,55.7,55.85
20250929 19:15:30 America/Denver,-1,55.85,56.15,55.85,56.15
20250929 19:15:45 America/Denver,-1,56.15,56.45,56.05,56.05
20250929 19:16:00 America/Denver,-1,56.05,56.15,55.9,55.9
20250929 19:16:15 America/Denver,-1,55.9,55.9,55.5,55.55
20250929 19:16:30 America/Denver,-1,55.55,55.55,55.55,55.55
20250929 19:16:45 America/Denver,-1,55.55,55.7,55.55,55.7
20250929 19:17:00 America/Denver,-1,55.7,55.8,55.35,55.8
20250929 19:17:15 America/Denver,-1,55.8,56.0,55.8,55.85
20250929 19:17:30 America/Denver,-1,55.85,55.85,55.6,55.75
20250929 19:17:45 America/Denver,-1,55.75,55.75,55.65,55.65
20250929 19:18:00 America/Denver,-1,55.65,55.65,55.65,55.65
20250929 19:18:15 America/Denver,-1,55.65,55.65,55.4,55.4
20250929 19:18:30 America/Denver,-1,55.4,55.6,55.4,55.6
20250929 19:18:45 America/Denver,-1,55.6,55.95,55.6,55.9
20250929 19:19:00 America/Denver,-1,55.9,55.9,55.65,55.65
20250929 19:19:15 America/Denver,-1,55.65,55.85,55.6,55.85
20250929 19:19:30 America/Denver,-1,55.85,55.85,55.6,55.6
20250929 19:19:45 America/Denver,-1,55.6,55.8,55.6,55.8
20250929 19:20:00 America/Denver,-1,55.8,56.15,55.8,56.1
20250929 19:20:15 America/Denver,-1,56.1,56.2,56.1,56.2
20250929 19:20:30 America/Denver,-1,56.2,56.25,56.0,56.0
20250929 19:20:45 America/Denver,-1,56.0,56.0,56.0,56.0
20250929 19:21:00 America/Denver,-1,56.0,56.0,56.0,56.0
20250929 19:21:15 America/Denver,-1,56.0,56.0,56.0,56.0
20250929 19:21:30 America/Denver,-1,56.0,56.2,56.0,56.2
20250929 19:21:45 America/Denver,-1,56.2,56.2,56.05,56.05
20250929 19:22:00 America/Denver,-1,56.05,56.4,56.0,56.3
20250929 19:22:15 America/Denver,-1,56.3,56.3,55.4,56.25
20250929 19:22:30 America/Denver,-1,56.25,56.6,56.25,56.25
20250929 19:22:45 America/Denver,-1,56.25,56.25,56.25,56.25
20250929 19:23:00 America/Denver,-1,56.25,56.45,56.25,56.45
20250929 19:23:15 America/Denver,-1,56.45,56.45,56.45,56.45
20250929 19:23:30 America/Denver,-1,56.45,56.65,56.45,56.65
20250929 19:23:45 America/Denver,-1,56.65,56.65,56.65,56.65
20250929 19:24:00 America/Denver,-1,56.65,56.65,56.65,56.65
20250929 19:24:15 America/Denver,-1,56.65,56.65,56.65,56.65
20250929 19:24:30 America/Denver,-1,56.65,56.65,56.65,56.65
20250929 19:24:45 America/Denver,-1,56.65,56.65,56.65,56.65
20250929 19:25:00 America/Denver,-1,56.65,57.6,56.65,57.6
20250929 19:25:15 America/Denver,-1,57.6,58.05,57.6,58.05
20250929 19:25:30 America/Denver,-1,58.05,58.5,58.05,58.5
20250929 19:25:45 America/Denver,-1,58.5,58.5,58.5,58.5
20250929 19:26:00 America/Denver,-1,58.5,58.5,58.3,58.3
20250929 19:26:15 America/Denver,-1,58.3,58.3,58.0,58.0
20250929 19:26:30 America/Denver,-1,58.0,58.0,56.05,57.55
20250929 19:26:45 America/Denver,-1,57.55,57.55,57.4,57.4
20250929 19:27:00 America/Denver,-1,57.4,57.4,57.4,57.4
20250929 19:27:15 America/Denver,-1,57.4,57.4,57.35,57.35
20250929 19:27:30 America/Denver,-1,57.35,57.35,56.75,56.75
20250929 19:27:45 America/Denver,-1,56.75,56.85,56.75,56.85
20250929 19:28:00 America/Denver,-1,56.85,56.85,56.85,56.85
20250929 19:28:15 America/Denver,-1,56.85,57.0,56.8,56.95
20250929 19:28:30 America/Denver,-1,56.95,56.95,56.95,56.95
20250929 19:28:45 America/Denver,-1,56.95,56.95,56.95,56.95
20250929 19:29:00 America/Denver,-1,56.95,56.95,56.7,56.7
20250929 19:29:15 America/Denver,-1,56.7,56.7,56.7,56.7
20250929 19:29:30 America/Denver,-1,56.7,56.7,56.6,56.6
20250929 19:29:45 America/Denver,-1,56.6,56.6,56.6,56.6
20250929 19:30:00 America/Denver,-1,56.6,56.6,56.15,56.2
20250929 19:30:15 America/Denver,-1,56.2,60.4,56.2,56.65
20250929 19:30:30 America/Denver,-1,56.65,56.65,56.1,56.1
20250929 19:30:45 America/Denver,-1,56.1,56.1,55.8,55.8
20250929 19:31:00 America/Denver,-1,55.8,55.95,55.8,55.95
20250929 19:31:15 America/Denver,-1,55.95,56.35,55.95,56.1
20250929 19:31:30 America/Denver,-1,56.1,56.2,54.9,55.8
20250929 19:31:45 America/Denver,-1,55.8,55.8,55.6,55.6
20250929 19:32:00 America/Denver,-1,55.6,55.6,55.5,55.5
20250929 19:32:15 America/Denver,-1,55.5,55.5,53.55,54.8
20250929 19:32:30 America/Denver,-1,54.8,55.1,54.45,55.1
20250929 19:32:45 America/Denver,-1,55.1,55.8,55.1,55.6
20250929 19:33:00 America/Denver,-1,55.6,56.0,55.6,55.6
20250929 19:33:15 America/Denver,-1,55.6,55.7,55.55,55.6
20250929 19:33:30 America/Denver,-1,55.6,56.15,55.6,56.0
20250929 19:33:45 America/Denver,-1,56.0,56.0,55.85,55.9
20250929 19:34:00 America/Denver,-1,55.9,55.9,55.75,55.75
20250929 19:34:15 America/Denver,-1,55.75,55.75,55.75,55.75
20250929 19:34:30 America/Denver,-1,55.75,56.55,55.7,55.8
20250929 19:34:45 America/Denver,-1,55.8,55.9,55.7,55.7
20250929 19:35:00 America/Denver,-1,55.7,55.7,55.5,55.7
20250929 19:35:15 America/Denver,-1,55.7,55.9,55.7,55.9
20250929 19:35:30 America/Denver,-1,55.9,56.15,55.9,56.1
20250929 19:35:45 America/Denver,-1,56.1,56.1,56.0,56.0
20250929 19:36:00 America/Denver,-1,56.0,57.55,56.0,56.5
20250929 19:36:15 America/Denver,-1,56.5,56.5,56.15,56.15
20250929 19:36:30 America/Denver,-1,56.15,56.15,56.15,56.15
20250929 19:36:45 America/Denver,-1,56.15,56.15,56.15,56.15
20250929 19:37:00 America/Denver,-1,56.15,56.15,56.15,56.15
20250929 19:37:15 America/Denver,-1,56.15,56.15,56.15,56.15
20250929 19:37:30 America/Denver,-1,56.15,56.15,55.8,55.8
20250929 19:37:45 America/Denver,-1,55.8,55.8,55.5,55.5
20250929 19:38:00 America/Denver,-1,55.5,55.5,54.9,55.45
20250929 19:38:15 America/Denver,-1,55.45,55.65,55.4,55.5
20250929 19:38:30 America/Denver,-1,55.5,55.5,55.35,55.4
20250929 19:38:45 America/Denver,-1,55.4,55.7,55.4,55.7
20250929 19:39:00 America/Denver,-1,55.7,55.7,55.6,55.7
20250929 19:39:15 America/Denver,-1,55.7,58.05,55.55,55.9
20250929 19:39:30 America/Denver,-1,55.9,56.1,55.9,56.1
20250929 19:39:45 America/Denver,-1,56.1,56.1,55.75,56.0
20250929 19:40:00 America/Denver,-1,56.0,56.0,55.8,55.85
20250929 19:40:15 America/Denver,-1,55.85,55.85,55.7,55.7
20250929 19:40:30 America/Denver,-1,55.7,55.7,55.5,55.5
20250929 19:40:45 America/Denver,-1,55.5,55.75,55.5,55.75
20250929 19:41:00 America/Denver,-1,55.75,55.75,55.5,55.5
20250929 19:41:15 America/Denver,-1,55.5,55.5,55.4,55.45
20250929 19:41:30 America/Denver,-1,55.45,55.5,55.35,55.4
20250929 19:41:45 America/Denver,-1,55.4,55.4,55.2,55.3
20250929 19:42:00 America/Denver,-1,55.3,55.45,55.2,55.35
20250929 19:42:15 America/Denver,-1,55.35,55.35,55.2,55.25
20250929 19:42:30 America/Denver,-1,55.25,55.25,55.1,55.1
20250929 19:42:45 America/Denver,-1,55.1,55.1,54.95,55.05
20250929 19:43:00 America/Denver,-1,55.05,55.2,55.05,55.2
20250929 19:43:15 America/Denver,-1,55.2,55.2,55.1,55.1
20250929 19:43:30 America/Denver,-1,55.1,55.1,55.1,55.1
20250929 19:43:45 America/Denver,-1,55.1,55.2,55.05,55.2
20250929 19:44:00 America/Denver,-1,55.2,55.45,55.2,55.45
20250929 19:44:15 America/Denver,-1,55.45,55.45,55.4,55.4
20250929 19:44:30 America/Denver,-1,55.4,55.45,55.3,55.45
20250929 19:44:45 America/Denver,-1,55.45,55.45,55.4,55.4
20250929 19:45:00 America/Denver,-1,55.4,55.4,55.25,55.25
20250929 19:45:15 America/Denver,-1,55.25,55.25,55.25,55.25
20250929 19:45:30 America/Denver,-1,55.25,55.25,55.15,55.15
20250929 19:45:45 America/Denver,-1,55.15,55.4,55.15,55.35
20250929 19:46:00 America/Denver,-1,55.35,55.35,55.05,55.05
20250929 19:46:15 America/Denver,-1,55.05,55.2,55.0,55.0
20250929 19:46:30 America/Denver,-1,55.0,55.0,53.05,54.6
20250929 19:46:45 America/Denver,-1,54.6,54.8,54.6,54.8
20250929 19:47:00 America/Denver,-1,54.8,54.95,54.8,54.85
20250929 19:47:15 America/Denver,-1,54.85,54.95,54.8,54.8
20250929 19:47:30 America/Denver,-1,54.8,54.8,54.65,54.65
20250929 19:47:45 America/Denver,-1,54.65,54.7,54.5,54.7
20250929 19:48:00 America/Denver,-1,54.7,54.7,54.2,54.2
20250929 19:48:15 America/Denver,-1,54.2,54.2,53.6,53.75
20250929 19:48:30 America/Denver,-1,53.75,53.75,53.65,53.65
20250929 19:48:45 America/Denver,-1,53.65,53.8,53.6,53.65
20250929 19:49:00 America/Denver,-1,53.65,53.65,53.55,53.65
20250929 19:49:15 America/Denver,-1,53.65,54.1,53.65,54.1
20250929 19:49:30 America/Denver,-1,54.1,54.1,54.0,54.05
20250929 19:49:45 America/Denver,-1,54.05,54.25,54.05,54.25
20250929 19:50:00 America/Denver,-1,54.25,54.35,54.2,54.35
20250929 19:50:15 America/Denver,-1,54.35,54.6,54.3,54.3
20250929 19:50:30 America/Denver,-1,54.3,54.5,54.3,54.5
20250929 19:50:45 America/Denver,-1,54.5,54.8,54.5,54.8
20250929 19:51:00 America/Denver,-1,54.8,54.8,54.8,54.8
20250929 19:51:15 America/Denver,-1,54.8,54.9,54.8,54.9
20250929 19:51:30 America/Denver,-1,54.9,54.95,54.9,54.95
20250929 19:51:45 America/Denver,-1,54.95,55.15,54.95,55.05
20250929 19:52:00 America/Denver,-1,55.05,55.1,55.0,55.05
20250929 19:52:15 America/Denver,-1,55.05,55.1,55.05,55.05
20250929 19:52:30 America/Denver,-1,55.05,55.05,55.0,55.0
20250929 19:52:45 America/Denver,-1,55.0,55.0,54.8,54.8
20250929 19:53:00 America/Denver,-1,54.8,54.8,54.75,54.75
20250929 19:53:15 America/Denver,-1,54.75,54.75,54.65,54.65
20250929 19:53:30 America/Denver,-1,54.65,54.65,54.45,54.5
20250929 19:53:45 America/Denver,-1,54.5,54.5,54.45,54.45
20250929 19:54:00 America/Denver,-1,54.45,54.5,54.3,54.5
20250929 19:54:15 America/Denver,-1,54.5,54.7,54.5,54.6
